id,deutscher_name,botanischer_name,botanische_familie,hauptkategorie,weitere_kategorien,synonyme,quelle_botanik,geschmacksintensitaet,frische,suesse,saeure,bitterkeit,schaerfe,umami,zitronig,anisartig,menthol,harzig,erdig,blumig,pfeffrig,knoblauchartig,typische_verwendung,licht,bodenfeuchte,bodenanspruch,wasserbedarf,naehrstoffbedarf,hoehe,lebensdauer,standort_eignung,anbau_typ,slug,bild_dateiname,beschreibungstext,schwierigkeitsgrad,essbarkeit,giftige_teile,warnung
KR000059,Curryblatt,Murraya koenigii,Rutaceae,Gewürzpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Tadka; Dal; südindische Currys; Reisgerichte,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,2,nur-geschützt,curryblatt,curryblatt.jpg,,Experte,essbar,,
KR000060,Weißer Senf,Sinapis alba,Brassicaceae,Gewürzpflanze,,Gelbsenf,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Senfherstellung; Einlegegewürz; Marinaden; Kartoffelsalat,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,2,Garten,weisser-senf,weisser-senf.jpg,,Anfänger,essbar,,
KR000061,Brauner Senf,Brassica juncea,Brassicaceae,Gewürzpflanze,,Sareptasenf; Indischer Senf,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Tadka; Currys; Pickles; Senföl-Würzung,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,2,Garten,brauner-senf,brauner-senf.jpg,,Anfänger,essbar,,
KR000062,Schwarzer Senf,Brassica nigra,Brassicaceae,Gewürzpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,südindische Gewürztemperierung; Dal; Chutneys; Pickles,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,2,Garten,schwarzer-senf,schwarzer-senf.jpg,,Anfänger,essbar,,
KR000063,Zitronenverbene,Aloysia citrodora,Verbenaceae,Küchenkraut,Küchenkraut; Duftpflanze; Tee,Verveine,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Sirup; Dessertinfusionen; Obstsalat,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,1,Garten-frostempfindlich,zitronenverbene,zitronenverbene.jpg,,Fortgeschritten,essbar,,
KR000064,Gewürztagetes,Tagetes tenuifolia,Asteraceae,Küchenkraut,,Zitronentagetes,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Salsas; Salate; Kräuterbutter; Blütendekoration,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,gewuerztagetes,gewuerztagetes.jpg,,Fortgeschritten,essbar,,
KR000065,Lakritz-Tagetes,Tagetes filifolia,Asteraceae,Küchenkraut,,Anistagetes,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Desserts; Obstsalate; Sirup,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,lakritz-tagetes,lakritz-tagetes.jpg,,Fortgeschritten,essbar,,
KR000066,Mexikanischer Estragon,Tagetes lucida,Asteraceae,Küchenkraut,Teepflanze,Winterestragon,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Salsas; Bohnengerichte; Tee; Estragonersatz in warmem Klima,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,mexikanischer-estragon,mexikanischer-estragon.jpg,,Fortgeschritten,essbar,,
KR000067,Süßkraut,Stevia rebaudiana,Asteraceae,Süßpflanze,Teepflanze,Stevia,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Tee-Süßung; kalorienarme Desserts; Joghurt; Fruchtsalate,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten-frostempfindlich,suesskraut,suesskraut.jpg,,Fortgeschritten,essbar,,
KR000068,Echter Lavendel,Lavandula angustifolia,Lamiaceae,Gewürzpflanze,Teepflanze,Lavendel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutermischungen; Gebäck; Lavendelsirup; Lammgerichte,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,2,Garten,echter-lavendel,echter-lavendel.jpg,,Fortgeschritten,essbar,,
KR000069,Provence-Lavendel,Lavandula × intermedia,Lamiaceae,Duftpflanze,,Lavandin,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Herbes de Provence; Grillmarinaden; Ofenkartoffeln; Blütensirup,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,2,Garten,provence-lavendel,provence-lavendel.jpg,,Fortgeschritten,essbar,,
KR000070,Bergminze,Clinopodium nepeta,Lamiaceae,Küchenkraut,Teepflanze,Steinquendel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Bohnenwürze; mediterrane Gemüsegerichte; Kräuterbutter,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,bergminze,bergminze.jpg,,Anfänger,essbar,,
KR000071,Korsische Minze,Mentha requienii,Lamiaceae,Küchenkraut,Teepflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Dessertgarnitur; Minzsirup; Obstsalat; Kräutertee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,korsische-minze,korsische-minze.jpg,,Anfänger,essbar,,
KR000072,Apfelminze,Mentha suaveolens,Lamiaceae,Küchenkraut,Küchenkraut; Tee,Rundblättrige Minze,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Limonade; Joghurtsauce; Obstsalat,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,apfelminze,apfelminze.jpg,,Anfänger,essbar,,
KR000073,Ackerminze,Mentha arvensis,Lamiaceae,Küchenkraut,Wildkraut; Küchenkraut; Tee,Kornminze,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Minzsauce; Wildkräutermischungen; Kartoffelsalat,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,ackerminze,ackerminze.jpg,,Anfänger,essbar,,
KR000074,Wasserminze,Mentha aquatica,Lamiaceae,Küchenkraut,Wildkraut; Tee,Bachminze,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; kalte Saucen; Salate; Sommergetränke,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,wasserminze,wasserminze.jpg,,Anfänger,essbar,,
KR000075,Katzenminze,Nepeta cataria,Lamiaceae,Küchenkraut,Küchenkraut; Tee,Echte Katzenminze,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Sommergetränke; Dessertgarnitur; Blattsalat-Akzent,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,katzenminze,katzenminze.jpg,,Anfänger,essbar,,
KR000076,Monarde,Monarda didyma,Lamiaceae,Küchenkraut,Tee,Indianernessel; Goldmelisse,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Sirup; Blütendekoration; Fruchtdesserts,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,monarde,monarde.jpg,,Anfänger,essbar,,
KR000077,Anis-Ysop,Agastache foeniculum,Lamiaceae,Küchenkraut,Küchenkraut; Tee,Duftnessel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Desserts; Blattsalate; Blütendekoration,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,anis-ysop,anis-ysop.jpg,,Anfänger,essbar,,
KR000078,Koreanische Minze,Agastache rugosa,Lamiaceae,Küchenkraut,Küchenkraut; Tee,Koreanische Duftnessel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kimchi-Aromatik; Kräutertee; Salate; Würzblätter,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,koreanische-minze,koreanische-minze.jpg,,Anfänger,essbar,,
KR000079,Echte Kamille,Matricaria chamomilla,Asteraceae,Küchenkraut,Heilpflanze; Tee,Kamille,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Sirup; Dessertinfusion; Beruhigungstee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,echte-kamille,echte-kamille.jpg,,Anfänger,essbar,,
KR000080,Römische Kamille,Chamaemelum nobile,Asteraceae,Küchenkraut,Heilpflanze; Tee,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Dessertinfusion; Sirup; Gebäckaroma,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,roemische-kamille,roemische-kamille.jpg,,Anfänger,essbar,,
KR000081,Echte Goldrute,Solidago virgaurea,Asteraceae,Wildkraut,Wildkraut; Heilpflanze; Tee,Goldrute,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Blütenmischung; Sirup; Wildkräutertee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,2,Garten,echte-goldrute,echte-goldrute.jpg,,Anfänger,essbar,,
KR000082,Mädesüß,Filipendula ulmaria,Rosaceae,Wildkraut,Wildkraut; Tee,Wiesenkönigin,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Dessertinfusion; Sirup; Kompott; Wildkräutertee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,3,Garten,maedesuess,maedesuess.jpg,,Anfänger,essbar,,
KR000083,Holunder,Sambucus nigra,Adoxaceae,Essbare Blütenpflanze,Teepflanze,Schwarzer Holunder,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Holunderblütensirup; Gelee; Ausbackblüten; Fruchtkompott,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,3,Garten,holunder,holunder.jpg,,Anfänger,nur-verarbeitet,"rohe Beeren, Blätter, Rinde (Sambunigrin)",Beeren und Blüten nur erhitzt; roh giftig. Nicht mit giftigem Zwergholunder verwechseln.
KR000084,Hagebuttenrose,Rosa canina,Rosaceae,Wildobst,Teepflanze,Hundsrose,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Hagebuttentee; Marmelade; Wildfruchtmus; Sirup,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,3,Garten,hagebuttenrose,hagebuttenrose.jpg,,Fortgeschritten,essbar,,
KR000085,Damaszener-Rose,Rosa × damascena,Rosaceae,Essbare Blütenpflanze,,Duftrose,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Rosenwasser; Sirup; Desserts; kandierte Blüten,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-verholzend,3,Garten,damaszener-rose,damaszener-rose.jpg,,Anfänger,essbar,,
KR000086,Eibisch,Althaea officinalis,Malvaceae,Wildkraut,Heilpflanze; Tee,Echter Eibisch,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Sirup; historische Süßwarenanwendungen; Blütenmischungen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,eibisch,eibisch.jpg,,Anfänger,essbar,,
KR000087,Malve,Malva sylvestris,Malvaceae,Wildkraut,Teepflanze; Essbare Blüte,Wilde Malve,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Malventee; Wildkräutersalat; Blütendekoration; Suppeneinlage,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,malve,malve.jpg,,Anfänger,essbar,,
KR000088,Stockrose,Alcea rosea,Malvaceae,Essbare Blütenpflanze,Teepflanze; Essbare Blüte,Garten-Stockrose,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Blütendekoration; Tee-Mischungen; kandierte Blüten; Kräuterbutter,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,zweijährig,3,Garten,stockrose,stockrose.jpg,,Anfänger,essbar,,
KR000089,Ringelblume,Calendula officinalis,Asteraceae,Essbare Blütenpflanze,Teepflanze; Heilpflanze; Essbare Blüte,Garten-Ringelblume,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Blütenbutter; Kräuterquark; Reisfärbung; Salatblüten,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,ringelblume,ringelblume.jpg,,Anfänger,essbar,,
KR000090,Kornblume,Centaurea cyanus,Asteraceae,Essbare Blütenpflanze,Teepflanze; Essbare Blüte,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Blütendekoration; Teemischungen; Blütenzucker; Kräuterquark,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,kornblume,kornblume.jpg,,Anfänger,essbar,,
KR000091,Duftveilchen,Viola odorata,Violaceae,Essbare Blütenpflanze,Wildkraut; Essbare Blüte,Märzveilchen,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,kandierte Blüten; Veilchensirup; Desserts; Salatdekoration,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,duftveilchen,duftveilchen.jpg,,Anfänger,essbar,,
KR000092,Hornveilchen,Viola cornuta,Violaceae,Essbare Blütenpflanze,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,essbare Dekoration; kandierte Blüten; Salate; Desserts,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,hornveilchen,hornveilchen.jpg,,Anfänger,essbar,,
KR000093,Taglilie,Hemerocallis fulva,Xanthorrhoeaceae,Essbare Blütenpflanze,Essbare Blüte,Gelbrote Taglilie,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,gefüllte Blüten; Wokgemüse; Knospen-Pickles; Salate,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,2,Garten,taglilie,taglilie.jpg,,Anfänger,essbar-mit-einschränkung,—,Nur echte Hemerocallis; kann abführend wirken. Nicht mit giftigen Zierlilien verwechseln.
KR000094,Gänseblümchen,Bellis perennis,Asteraceae,Wildkraut,Teepflanze; Essbare Blüte,Maßliebchen,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Kräuterquark; Blütenbutter; Suppentopping,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,gaensebluemchen,gaensebluemchen.jpg,,Anfänger,essbar,,
KR000095,Schafgarbe,Achillea millefolium,Asteraceae,Wildkraut,Teepflanze,Gemeine Schafgarbe,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bitterkräutertee; Kräuterbutter; Wildkräutersalat; Kartoffelwürze,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,schafgarbe,schafgarbe.jpg,,Anfänger,essbar,,
KR000096,Löwenzahn,Taraxacum officinale agg.,Asteraceae,Wildkraut,Teepflanze,Gewöhnlicher Löwenzahn,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Pesto; Blütensirup; Wurzelkaffee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,loewenzahn,loewenzahn.jpg,,Anfänger,essbar,,
KR000097,Brennnessel,Urtica dioica,Urticaceae,Wildkraut,Teepflanze,Große Brennnessel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Brennnesselspinat; Suppe; Pesto; Teigtaschenfüllung,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,brennnessel,brennnessel.jpg,,Anfänger,essbar,,
KR000098,Kleine Brennnessel,Urtica urens,Urticaceae,Wildkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersuppe; Spinatgemüse; Kräuterquark; Füllungen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,kleine-brennnessel,kleine-brennnessel.jpg,,Anfänger,essbar,,
KR000099,Giersch,Aegopodium podagraria,Apiaceae,Wildkraut,Küchenkraut,Geißfuß,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräuterpesto; Gierschspinat; Suppen; Kräuterquark,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,giersch,giersch.jpg,,Anfänger,essbar,—,Mit anderen Doldenblütlern verwechselbar – sicher bestimmen.
KR000100,Vogelmiere,Stellaria media,Caryophyllaceae,Wildkraut,,Hühnerdarm,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Kräuterquark; Pesto; Smoothiegrün,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,vogelmiere,vogelmiere.jpg,,Anfänger,essbar,,
KR000101,Gundermann,Glechoma hederacea,Lamiaceae,Wildkraut,Küchenkraut; Teepflanze,Gundelrebe,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräuterquark; Wildkräuterbutter; Tee; herbe Dessertakzente,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,gundermann,gundermann.jpg,,Anfänger,essbar,,
KR000102,Spitzwegerich,Plantago lanceolata,Plantaginaceae,Wildkraut,Teepflanze,Lungenblattl,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Tee; Kräuterfüllungen; junge Blätter gedünstet,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,spitzwegerich,spitzwegerich.jpg,,Anfänger,essbar,,
KR000103,Breitwegerich,Plantago major,Plantaginaceae,Wildkraut,,Großer Wegerich,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersuppe; Pfannkuchenfüllung; junge Blätter gedünstet; Kräuterquark,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,breitwegerich,breitwegerich.jpg,,Anfänger,essbar,,
KR000104,Wiesenlabkraut,Galium mollugo,Rubiaceae,Wildkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Labkrauttee; Kräuterquark; Suppengrün,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,wiesenlabkraut,wiesenlabkraut.jpg,,Anfänger,essbar,,
KR000105,Klettenlabkraut,Galium aparine,Rubiaceae,Wildkraut,,Klebkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersuppe; gedünstete junge Triebe; Kräuterfüllungen; Tee,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,klettenlabkraut,klettenlabkraut.jpg,,Anfänger,essbar,,
KR000106,Hirtentäschel,Capsella bursa-pastoris,Brassicaceae,Wildkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Pfannengemüse; Samenwürze; asiatische Füllungen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,hirtentaeschel,hirtentaeschel.jpg,,Anfänger,essbar,,
KR000107,Barbarakraut,Barbarea vulgaris,Brassicaceae,Wildkraut,,Winterkresse,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wintersalat; Kräuterbutter; Sandwichgrün; Pesto,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,zweijährig,1,Garten,barbarakraut,barbarakraut.jpg,,Anfänger,essbar,,
KR000108,Wiesenschaumkraut,Cardamine pratensis,Brassicaceae,Wildkraut,Küchenkraut,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Kresseersatz; Kräuterquark; Brotbelag,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,wiesenschaumkraut,wiesenschaumkraut.jpg,,Anfänger,essbar,,
KR000109,Schaumkraut,Cardamine hirsuta,Brassicaceae,Wildkraut,Küchenkraut,Behaartes Schaumkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; Kräuterquark; Brotbelag; Suppentopping,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,schaumkraut,schaumkraut.jpg,,Anfänger,essbar,,
KR000110,Huflattich,Tussilago farfara,Asteraceae,Wildkraut,Teepflanze,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Kräutertee; Blütenzubereitungen; Sirup; traditionelle Teemischungen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,huflattich,huflattich.jpg,,Anfänger,essbar-mit-einschränkung,ganze Pflanze (Pyrrolizidinalkaloide),Nur selten/kleine Mengen; leberbelastend.
KR000111,Wilde Möhre,Daucus carota,Apiaceae,Wildkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wurzelgemüse; Samenwürze; Brühen; Wildgemüsesuppen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,zweijährig,1,Garten,wilde-moehre,wilde-moehre.jpg,,Anfänger,essbar,—,VERWECHSLUNGSGEFAHR mit Geflecktem Schierling/Hundspetersilie (giftig) – sicher bestimmen.
KR000112,Wiesen-Bärenklau,Heracleum sphondylium,Apiaceae,Wildkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildgemüse; Suppen; Füllungen; junge Stängel gedünstet,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,3,Garten,wiesen-baerenklau,wiesen-baerenklau.jpg,,Anfänger,essbar-mit-einschränkung,Pflanzensaft (phototoxische Furocumarine),Hautkontakt + Sonne meidet man; nicht mit Riesen-Bärenklau verwechseln.
KR000113,Sauerklee,Oxalis acetosella,Oxalidaceae,Wildkraut,,Waldsauerklee,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildkräutersalat; säuerliche Suppen; Kräuterquark; Garnitur,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,1,Garten,sauerklee,sauerklee.jpg,,Anfänger,essbar,,
KR000114,Franzosenkraut,Galinsoga parviflora,Asteraceae,Wildkraut,,Knopfkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildgemüse; Omelett; Suppen; Gemüsepfannen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,franzosenkraut,franzosenkraut.jpg,,Anfänger,essbar,,
KR000115,Behaartes Knopfkraut,Galinsoga quadriradiata,Asteraceae,Wildkraut,,Franzosenkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildgemüse; Suppen; Gemüsepfannen; Kräuterbutter,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten,behaartes-knopfkraut,behaartes-knopfkraut.jpg,,Anfänger,essbar,,
KR000116,Guter Heinrich,Blitum bonus-henricus,Amaranthaceae,Wildkraut,,Wilder Spinat,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Spinatgemüse; Quiche; Aufläufe; Wildkräutersuppe,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,mehrjährig-krautig,2,Garten,guter-heinrich,guter-heinrich.jpg,,Anfänger,essbar,,
KR000117,Melde,Atriplex hortensis,Amaranthaceae,Blattgemüse,,Gartenmelde,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Spinatgemüse; Quiche; Suppen; Füllungen,sonnig bis halbschattig,frisch,"humos, locker, eher nährstoffreich",mittel,mittel,20–40,einjährig,3,Garten,melde,melde.jpg,,Anfänger,essbar,,
